"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","erica-delagnier.fr/185.199.108.153","443","INFO","HTTP","",""
"pre_128cipher","erica-delagnier.fr/185.199.108.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","erica-delagnier.fr/185.199.108.153","443","OK","not offered","",""
"SSLv3","erica-delagnier.fr/185.199.108.153","443","OK","not offered","",""
"TLS1","erica-delagnier.fr/185.199.108.153","443","INFO","not offered","",""
"TLS1_1","erica-delagnier.fr/185.199.108.153","443","INFO","not offered","",""
"TLS1_2","erica-delagnier.fr/185.199.108.153","443","OK","offered","",""
"TLS1_3","erica-delagnier.fr/185.199.108.153","443","OK","offered with final","",""
"ALPN_HTTP2","erica-delagnier.fr/185.199.108.153","443","OK","h2","",""
"ALPN","erica-delagnier.fr/185.199.108.153","443","INFO","http/1.1","",""
"cipherlist_NULL","erica-delagnier.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","erica-delagnier.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","erica-delagnier.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","erica-delagnier.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","erica-delagnier.fr/185.199.108.153","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","erica-delagnier.fr/185.199.108.153","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","erica-delagnier.fr/185.199.108.153","443","OK","offered","",""
"cipherlist_STRONG_FS","erica-delagnier.fr/185.199.108.153","443","OK","offered","",""
"cipher_order-tls1_2","erica-delagnier.fr/185.199.108.153","443","OK","server","",""
"cipherorder_TLSv1_2","erica-delagnier.fr/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","erica-delagnier.fr/185.199.108.153","443","OK","server -- TLS 1.3 client determined","",""
"FS","erica-delagnier.fr/185.199.108.153","443","OK","offered","",""
"FS_ciphers","erica-delagnier.fr/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","erica-delagnier.fr/185.199.108.153","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","erica-delagnier.fr/185.199.108.153","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","erica-delagnier.fr/185.199.108.153","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","erica-delagnier.fr/185.199.108.153","443","INFO","yes","",""
"sessionresumption_ticket","erica-delagnier.fr/185.199.108.153","443","INFO","supported","",""
"sessionresumption_ID","erica-delagnier.fr/185.199.108.153","443","INFO","supported","",""
"TLS_timestamp","erica-delagnier.fr/185.199.108.153","443","INFO","random","",""
"certificate_compression","erica-delagnier.fr/185.199.108.153","443","INFO","none","",""
"clientAuth","erica-delagnier.fr/185.199.108.153","443","INFO","none","",""
"cert_numbers","erica-delagnier.fr/185.199.108.153","443","INFO","1","",""
"cert_signatureAlgorithm","erica-delagnier.fr/185.199.108.153","443","OK","SHA256 with RSA","",""
"cert_keySize","erica-delagnier.fr/185.199.108.153","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","erica-delagnier.fr/185.199.108.153","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","erica-delagnier.fr/185.199.108.153","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","erica-delagnier.fr/185.199.108.153","443","INFO","0409EDC643D8A71656270D0CCF0258D31C41","",""
"cert_serialNumberLen","erica-delagnier.fr/185.199.108.153","443","INFO","18","",""
"cert_fingerprintSHA1","erica-delagnier.fr/185.199.108.153","443","INFO","48E1EBBE1D238CA39EAD5F3A959EB1237A9F53F9","",""
"cert_fingerprintSHA256","erica-delagnier.fr/185.199.108.153","443","INFO","4B16FD9AD42BD8F5CC9A89871B039703EB92218A328332D3014DC9DAD13B7BC1","",""
